No,カテゴリ,ペルソナ/ターゲット,ユースケース,プロンプトテンプレート,プロンプトサンプル①,プロンプトサンプル②,プロンプトサンプル③,プロンプトサンプル④,プロンプトサンプル⑤,備考,@dropdown,,@dropdown,,@dropdown,,
22,教育/トレーニング資料,P: カリキュラムデザイナーT: eラーニング企業,コースマップビジュアル,# 指示書: 学習意欲を持続させるコースマップ【役割】ゲーミフィケーション・デザイナー【目的】[コース]の全体像と現在地を提示【マップ仕様】・構造: [構造]で構成し、配色は[色]基調・モジュール: [モジュール]個の要素を[アイコン/テキスト]で表現・機能: 学習進捗バーを追加し達成感を演出【出力設定】・解像度: [指定]・スタイル: RPGのワールドマップ風,# 指示書: デジマ講座マップ【役割】マーケティング講師【目的】スキルの習得順序を提示【仕様】・構造: モジュール構造/青・要素: 10個/ギア+源ノ角・演出: レベルアップ感【出力】・解像度: 4K,# 指示書: データ科学マップ【役割】データサイエンティスト【目的】知識の積み上げを可視化【仕様】・構造: 階層構造/緑・要素: 8個/チャート+メイリオ・演出: 登山のような達成感【出力】・解像度: 300dpi,# 指示書: UXデザインマップ【役割】デザイン講師【目的】プロセスの流れを提示【仕様】・構造: フロー構造/紫・要素: 12個/ワイヤー+ヒラギノ・演出: 滑らかな道筋【出力】・解像度: 4K,# 指示書: 財務管理マップ【役割】会計講師【目的】資産形成の成長を提示【仕様】・構造: ツリー構造/橙・要素: 6個/ドル+游ゴシック・演出: 実がなる木【出力】・解像度: 300dpi,# 指示書: AI基礎マップ【役割】AI研究者【目的】知識のネットワーク化【仕様】・構造: ネットワーク構造/多色・要素: 9個/ニューロン+筑紫・演出: 脳内シナプス【出力】・解像度: 4K,完了率向上。,,,,,,,
23,教育/トレーニング資料,P: 教師T: 教育機関,授業スライドイラスト,# 指示書: 記憶に残る授業用イラスト生成【役割】教育図書イラストレーター【目的】[トピック]の重要概念を視覚的に解説【イラスト仕様】・スタイル: [スタイル]で描き、[詳細]まで精密に描写・注釈: 重要語句「[用語]」を[ハイライト/フォント]で強調・トーン: アカデミックかつ興味を惹く教育的トーン【出力設定】・解像度: [指定]・背景: 白または黒板風,# 指示書: 生物学（細胞）【役割】理科教師【目的】細胞内小器官の解説【仕様】・スタイル: リアルな3D断面図・詳細: ミトコンドリアの構造・注釈: 黄色ハイライト+源ノ角【出力】・解像度: 4K,# 指示書: 世界史（ルネサンス）【役割】社会科教師【目的】時代の空気感を伝達【仕様】・スタイル: 古典絵画風・詳細: フィレンツェの街並み・注釈: 金色ハイライト+メイリオ【出力】・解像度: 300dpi,# 指示書: 物理学（力学）【役割】物理教師【目的】法則の直感的理解【仕様】・スタイル: 簡潔なダイアグラム・詳細: 運動のベクトル・注釈: 青ハイライト+ヒラギノ【出力】・解像度: 4K,# 指示書: 文学（シェイクスピア）【役割】国語教師【目的】作品のテーマを象徴【仕様】・スタイル: 演劇風ナラティブ・詳細: 悲劇の象徴（ドクロ等）・注釈: 赤ハイライト+游ゴシック【出力】・解像度: 300dpi,# 指示書: 地理（プレート）【役割】地理教師【目的】地球の動きを解説【仕様】・スタイル: 立体地図・詳細: 地殻変動の断面・注釈: 緑ハイライト+筑紫【出力】・解像度: 4K,視覚学習効果高。,,,,,,,
24,教育/トレーニング資料,P: コーチT: コーチングサービス,コーチングカード,# 指示書: 心に響くコーチングカード生成【役割】メンタルヘルス・デザイナー【目的】[アドバイス]を視覚化し、行動変容を促す【カード仕様】・デザイン: [デザイン]な雰囲気、テキストは[テキスト]色・引用句: 「[引用]」を[フォント/色]で中央に配置・心理効果: モチベーションを高めるエモーショナルな画像【出力設定】・解像度: [指定]・比率: カードサイズ（スマホ壁紙対応）,# 指示書: 目標設定【役割】ライフコーチ【目的】夢への情熱を点火【仕様】・デザイン: インスパイア（朝日）・引用: 「夢を追え」(源ノ角/金)・心理: 希望とエネルギー【出力】・解像度: 4K,# 指示書: ストレス管理【役割】メンタルコーチ【目的】心の平穏を取り戻す【仕様】・デザイン: カーム（静かな海）・引用: 「息を整えよ」(メイリオ/青)・心理: 安らぎと沈静【出力】・解像度: 300dpi,# 指示書: 人脈形成【役割】ビジネスコーチ【目的】社交への恐怖を払拭【仕様】・デザイン: コネクト（結び目）・引用: 「つながりを築け」(ヒラギノ/緑)・心理: 開放性と信頼【出力】・解像度: 4K,# 指示書: 習慣化【役割】習慣化コンサル【目的】継続の重要性を説く【仕様】・デザイン: ハビット（積み石）・引用: 「毎日一歩」(游ゴシック/橙)・心理: 着実な進歩【出力】・解像度: 300dpi,# 指示書: リーダーシップ【役割】エグゼクティブコーチ【目的】覚悟を促す【仕様】・デザイン: エンパワー（頂上）・引用: 「導け」(筑紫/紫)・心理: 力強さと責任【出力】・解像度: 4K,クライアント定着。,,,,,,,
25,教育/トレーニング資料,P: 教材開発者T: 教育アプリ開発,クイズビジュアル,# 指示書: ゲーミフィケーション・クイズ画像【役割】エデュテインメント（教育+娯楽）デザイナー【目的】[クイズ]への興味を引くインタラクティブ画面作成【ビジュアル仕様】・テーマ: [テーマ]の世界観、選択肢は[選択肢]つ・ギミック: [正解]を[ハイライト]エフェクトで隠す（または強調）・スタイル: アプリUI風のインタラクティブデザイン【出力設定】・解像度: [指定]・品質: スマホ画面で鮮明,# 指示書: 地理クイズ【役割】社会科アプリ開発【目的】国名当てクイズ【仕様】・テーマ: 世界地図・選択肢: 4択・正解: 緑色でマスクして隠す【出力】・解像度: 4K,# 指示書: 科学実験クイズ【役割】理科アプリ開発【目的】反応結果予想クイズ【仕様】・テーマ: 実験室（ラボ）・選択肢: 3択・正解: 青色液体の変化を隠す【出力】・解像度: 300dpi,# 指示書: 歴史年号クイズ【役割】歴史アプリ開発【目的】出来事の順序当て【仕様】・テーマ: 年表（タイムライン）・選択肢: 5択・正解: 金色で年号を隠す【出力】・解像度: 4K,# 指示書: グラフ読み取り【役割】数学アプリ開発【目的】最大値当てクイズ【仕様】・テーマ: 統計グラフ・選択肢: 2択（○×）・正解: 赤丸で箇所を隠す【出力】・解像度: 300dpi,# 指示書: 英単語クイズ【役割】語学アプリ開発【目的】類義語選択クイズ【仕様】・テーマ: ワードクラウド・選択肢: 4択・正解: 紫色で単語を隠す【出力】・解像度: 4K,参加度向上。,,,,,,,
26,技術/医療資料,P: ITエンジニアT: テックスタートアップ,アーキテクチャ図,# 指示書: 開発者向けシステムアーキテクチャ図【役割】クラウドソリューションアーキテクト【目的】[システム]の構造を技術的に正確かつ美しく可視化【設計仕様】・構成: [レイヤー]層の多層構造、キーカラーは[色]・要素: [コンポーネント]を[ラベル/フォント]で明示・スタイル: 立体的な把握が可能なアイソメトリック3D風【出力設定】・解像度: [指定]・背景: ダークモードまたはテックグリッド,# 指示書: クラウド構成図【役割】AWS認定エンジニア【目的】スケーラブルな構成を提示【仕様】・構成: 7層/信頼の青・要素: サーバー群(源ノ角ゴシック)・スタイル: 3Dアイソメトリック【出力】・解像度: 4K,# 指示書: AIパイプライン【役割】ML Opsエンジニア【目的】学習データの流れを可視化【仕様】・構成: 5層/知能の緑・要素: 学習モデル(メイリオ)・スタイル: フロー型3D【出力】・解像度: 300dpi,# 指示書: DBスキーマ概念図【役割】DBスペシャリスト【目的】データ関係性の整理【仕様】・構成: 4層/論理的な灰・要素: SQLクエリ(ヒラギノ)・スタイル: 構造的ブロック【出力】・解像度: 4K,# 指示書: セキュリティ多層防御【役割】セキュリティアナリスト【目的】堅牢性の証明【仕様】・構成: 6層/警告の赤・要素: FW/WAF(游ゴシック)・スタイル: 防壁メタファー【出力】・解像度: 300dpi,# 指示書: IoTネットワーク【役割】IoTアーキテクト【目的】エッジからクラウドへの接続【仕様】・構成: 8層/通信の紫・要素: センサー群(筑紫A丸ゴ)・スタイル: ネットワーク3D【出力】・解像度: 4K,開発効率化。,,,,,,,
27,技術/医療資料,P: 医療イラストレーターT: 製薬会社,治療プロセス図,# 指示書: 科学的精度の高い医療プロセス図【役割】メディカル・ビジュアライゼーション専門家【目的】[治療]の機序を医療関係者向けに図解【描画仕様】・ステップ: [ステップ]段階のプロセスを[視覚]表現で展開・用語: 専門用語「[用語]」を[フォント/色]で正確に配置・トーン: 信頼性と清潔感のあるメディカル・エデュケーション調【出力設定】・解像度: [指定]・品質: 医学書/論文掲載レベル,# 指示書: CAR-T細胞療法【役割】免疫学イラストレーター【目的】遺伝子改変T細胞の攻撃機序【仕様】・視覚: 3D細胞レンダリング(6段階)・用語: 「T細胞活性化」(源ノ角/青)【出力】・解像度: 4K,# 指示書: ワクチン免疫応答【役割】感染症学スペシャリスト【目的】抗体産生の仕組み解説【仕様】・視覚: シェーマ風アニメ(4段階)・用語: 「免疫応答」(メイリオ/緑)【出力】・解像度: 300dpi,# 指示書: 手術シミュレーション【役割】外科解剖図制作者【目的】術式のステップ確認【仕様】・視覚: リアルな解剖図(5段階)・用語: 「切開ライン」(ヒラギノ/赤)【出力】・解像度: 4K,# 指示書: 診断フローチャート【役割】臨床検査技師【目的】確定診断までの手順【仕様】・視覚: フローチャート(7段階)・用語: 「バイオマーカー」(游ゴ/橙)【出力】・解像度: 300dpi,# 指示書: リハビリテーション【役割】理学療法士【目的】機能回復の推移【仕様】・視覚: 人体イラスト(3段階)・用語: 「回復段階」(筑紫/紫)【出力】・解像度: 4K,Nature準拠。,,,,,,,
28,技術/医療資料,P: データアナリストT: データチーム,データビジュアライズ,# 指示書: インサイトを発見するデータ可視化【役割】Tableau/PowerBIビジュアライゼーション専門家【目的】[データセット]から意味のある傾向を抽出・表現【グラフ仕様】・形式: [チャートタイプ]、配色は[パレット]で視認性確保・注釈: 発見された「[インサイト]」を[テキスト]で強調・スタイル: ノイズを排除したクリーンなデザイン【出力設定】・解像度: [指定]・背景: 白または淡いグレー,# 指示書: 売上相関分析【役割】マーケティングアナリスト【目的】要因と結果の関係特定【仕様】・形式: 散布図/青緑・注釈: 「強い正の相関」(源ノ角)【出力】・解像度: 4K,# 指示書: ユーザー行動【役割】UXリサーチャー【目的】クリック集中箇所の特定【仕様】・形式: ヒートマップ/赤黄・注釈: 「ホットスポット」(メイリオ)【出力】・解像度: 300dpi,# 指示書: トレンド分析【役割】トレンドウォッチャー【目的】流行の波を把握【仕様】・形式: 多層線グラフ/多色・注釈: 「ピーク時期」(ヒラギノ)【出力】・解像度: 4K,# 指示書: セグメント構成【役割】顧客分析官【目的】内訳の変化を可視化【仕様】・形式: 積上げ棒/グラデーション・注釈: 「シェア拡大」(游ゴシック)【出力】・解像度: 300dpi,# 指示書: 将来予測【役割】予測モデリング担当【目的】未来の範囲を提示【仕様】・形式: エリアチャート/紫青・注釈: 「予測範囲」(筑紫)【出力】・解像度: 4K,正確性確保。,,,,,,,
29,技術/医療資料,P: バイオ研究者T: 研究機関,研究図表作成,# 指示書: 学術論文クオリティの研究図表(Figure)【役割】サイエンティフィック・イラストレーター【目的】[実験]の結果を論文投稿用に整形【図表仕様】・タイプ: [タイプ]、スケール感は[スケール]で正確に・ラベル: 実験結果「[結果]」を[ラベル/フォント]で明示・基準: 科学的な厳密さと視認性を両立【出力設定】・解像度: [指定]・スタイル: モノクロまたはアクセントカラーのみ,# 指示書: 遺伝子編集(WB)【役割】分子生物学者【目的】タンパク質発現の証明【仕様】・タイプ: ウェスタンブロット/ナノ・ラベル: バンド結果(源ノ角)【出力】・解像度: 4K,# 指示書: 薬物動態(PK)【役割】薬理学者【目的】血中濃度推移の証明【仕様】・タイプ: PKカーブ/時間軸・ラベル: AUC値(メイリオ)【出力】・解像度: 300dpi,# 指示書: 細胞培養【役割】細胞生物学者【目的】形態変化の観察【仕様】・タイプ: 顕微鏡画像/ミクロ・ラベル: 増殖率(ヒラギノ)【出力】・解像度: 4K,# 指示書: 臨床生存率【役割】臨床統計家【目的】予後の改善証明【仕様】・タイプ: カプランマイヤー/年・ラベル: ハザード比(游ゴシック)【出力】・解像度: 300dpi,# 指示書: ゲノム解析【役割】ゲノム解析官【目的】変異箇所の特定【仕様】・タイプ: ヒートマップ/ゲノム・ラベル: 変異頻度(筑紫)【出力】・解像度: 4K,論文Figure高速化。,,,,,,,
30,技術/医療資料,P: ヘルスコーチT: ウェルネス企業,健康ガイドイラスト,# 指示書: 健康習慣を定着させるガイドイラスト【役割】ヘルスケア・コミュニケーションデザイナー【目的】[健康Tips]を親しみやすく解説【イラスト仕様】・被写体: [ボディ]を使用した[ステップ]段階の解説・説明: ポイント「[説明]」を[テキスト/フォント]で添える・トーン: ポジティブでモチベーションが上がる雰囲気【出力設定】・解像度: [指定]・スタイル: フラットイラストまたはソフト3D,# 指示書: ヨガポーズ解説【役割】ヨガインストラクター【目的】正しい姿勢の指導【仕様】・被写体: 美しいシルエット/4段階・説明: 「リラックス」(源ノ角)【出力】・解像度: 4K,# 指示書: 食事バランス【役割】管理栄養士【目的】理想的な配膳の指導【仕様】・被写体: プレート(お皿)/3分割・説明: 「栄養満点」(メイリオ)【出力】・解像度: 300dpi,# 指示書: 快眠メソッド【役割】睡眠コンサルタント【目的】入眠儀式の定着【仕様】・被写体: ベッドルーム/5段階・説明: 「質の高い眠り」(ヒラギノ)【出力】・解像度: 4K,# 指示書: ストレス解消【役割】心理カウンセラー【目的】マインドフルネス導入【仕様】・被写体: 瞑想する人物/2段階・説明: 「内なる平和」(游ゴシック)【出力】・解像度: 300dpi,# 指示書: 自宅エクササイズ【役割】パーソナルトレーナー【目的】運動不足解消【仕様】・被写体: アクティブな人物/6種・説明: 「活力チャージ」(筑紫)【出力】・解像度: 4K,ユーザー定着。,,,,,,,
31,エンタメ/クリエイティブ,P: 動画クリエイターT: 動画制作会社,ストーリーボード,# 指示書: 映像制作のための映画的ストーリーボード【役割】ハリウッド級コンセプトアーティスト【目的】[シーン]の映像構成とカメラワークを指示【ボード仕様】・構成: [フレーム数]コマの連続画・スタイル: [スタイル]、映画的な照明と構図・台詞: キーとなるセリフ「[セリフ]」を[フォント]で挿入【出力設定】・解像度: [指定]・アスペクト比: 16:9シネマスコープ,# 指示書: アクションシーン【役割】アクション監督【目的】スピード感の演出【仕様】・構成: 6コマ/ダイナミック・セリフ: 「突撃！」(源ノ角)・演出: モーションブラー【出力】・解像度: 4K,# 指示書: 感動のドラマ【役割】ドラマ演出家【目的】感情の機微を表現【仕様】・構成: 4コマ/エモーショナル・セリフ: 「永遠の愛」(メイリオ)・演出: クローズアップ【出力】・解像度: 300dpi,# 指示書: コメディ【役割】コメディ作家【目的】オチのタイミング設計【仕様】・構成: 8コマ/ユーモラス・セリフ: 「大失敗！」(ヒラギノ)・演出: 誇張した表情【出力】・解像度: 4K,# 指示書: SFミステリー【役割】SF映画監督【目的】未知への恐怖と好奇心【仕様】・構成: 5コマ/未来的・セリフ: 「宇宙の謎」(游ゴシック)・演出: ネオン照明【出力】・解像度: 300dpi,# 指示書: サスペンスホラー【役割】ホラー映画監督【目的】忍び寄る恐怖【仕様】・構成: 3コマ/サスペンス・セリフ: 「影の囁き」(筑紫)・演出: 強い陰影（キアロスクーロ）【出力】・解像度: 4K,Flow統合で動画連携。,,,,,,,
32,エンタメ/クリエイティブ,P: 漫画家アシスタントT: 出版業界,キャラクターターンアラウンド,# 指示書: 3面図・設定資料(ターンアラウンド)生成【役割】キャラクターデザイナー兼モデラー【目的】[キャラ]の全貌を立体化用に資料化【デザイン仕様】・構成: [角度数]方向からの視点（正面・横・背面等）・スタイル: [スタイル]で統一し、衣装・体格の整合性を保持・追加要素: 感情パターンを示す表情シートを追加【出力設定】・解像度: [指定]・背景: ニュートラルグレー、グリッド線入り,# 指示書: 熱血主人公【役割】少年漫画家【目的】主人公の造形決定【仕様】・構成: 8方向/アニメ塗り・追加: 喜怒哀楽3表情・特徴: 尖った髪、赤いマフラー【出力】・解像度: 4K,# 指示書: 冷酷なヴィラン【役割】ダークファンタジー作家【目的】敵役の威圧感表現【仕様】・構成: 6方向/ダーク調・追加: 冷笑・激怒2表情・特徴: 長身、黒いコート【出力】・解像度: 300dpi,# 指示書: 相棒（サイドキック）【役割】アメコミ作家【目的】親しみやすさの表現【仕様】・構成: 7方向/コミック調・追加: 驚き・笑い4表情・特徴: 丸いフォルム、ゴーグル【出力】・解像度: 4K,# 指示書: 学園のヒロイン【役割】少女漫画家【目的】可憐さと芯の強さ【仕様】・構成: 5方向/ロマンティック・追加: 涙・微笑1表情・特徴: 制服、ロングヘア【出力】・解像度: 300dpi,# 指示書: 賢者（エルダー）【役割】RPGデザイナー【目的】知恵と威厳の表現【仕様】・構成: 9方向/ファンタジー・追加: 詠唱・沈黙5表情・特徴: 杖、長い髭【出力】・解像度: 4K,連載効率化。,,,,,,,
33,エンタメ/クリエイティブ,P: ゲームデザイナーT: ゲームスタジオ,ゲームアセットコンセプト,# 指示書: ゲーム用アセットコンセプトアート【役割】AAAゲームタイトル・コンセプトアーティスト【目的】[アセット]のデザインバリエーションを提案【デザイン仕様】・バリエーション: [バリエーション]種の異なるデザイン案・テーマ: [テーマ]の世界観に合致・詳細: [詳細]の特徴的なディテールを描き込み【出力設定】・解像度: [指定]・スタイル: デジタルペイント、アセットシート形式,# 指示書: 伝説の剣【役割】武器デザイナー【目的】プレイヤー報酬の設計【仕様】・案: 5種/ハイファンタジー・詳細: 光るルーン文字・質感: 魔法金属【出力】・解像度: 4K,# 指示書: 中世の城塞【役割】環境アーティスト【目的】レベルデザインの基礎【仕様】・案: 4種/中世ヨーロッパ・詳細: 防御塔と城壁・質感: 古びた石材【出力】・解像度: 300dpi,# 指示書: 魔法エフェクト【役割】VFXアーティスト【目的】スキルの視覚効果【仕様】・案: 6種/元素魔法・詳細: 輝く粒子（パーティクル）・質感: 光とエネルギー【出力】・解像度: 4K,# 指示書: SF車両【役割】メカデザイナー【目的】移動手段のデザイン【仕様】・案: 3種/サイバーパンク・詳細: 反重力エンジン・質感: カーボンとネオン【出力】・解像度: 300dpi,# 指示書: 荒野のNPC【役割】キャラデザイナー【目的】モブキャラの多様性【仕様】・案: 7種/ポストアポカリプス・詳細: サバイバル装備・質感: 汚れと摩耗【出力】・解像度: 4K,プロトタイピング速。,,,,,,,
34,エンタメ/クリエイティブ,P: 広告クリエイターT: 広告代理店,キャンペーンストーリーボード,# 指示書: 広告キャンペーン用絵コンテ【役割】CMプランナー兼アートディレクター【目的】[ストーリー]の流れとブランドメッセージを可視化【コンテ仕様】・構成: [パネル数]枚のパネル構成・トランジション: [トランジション]による場面転換・ナレーション: 「[ナレーション]」をテキスト挿入・トーン: 視聴者の感情を動かすダイナミックな演出【出力設定】・解像度: [指定]・スタイル: プレゼン映えする高品質スケッチ,# 指示書: ブランド誕生【役割】ブランド戦略家【目的】起源の物語を語る【仕様】・構成: 9枚/スムーズ・ナレ: 「始まりの瞬間」・演出: 歴史的かつ感動的【出力】・解像度: 4K,# 指示書: 製品発見の旅【役割】クリエイティブディレクター【目的】出会いの衝撃を描く【仕様】・構成: 7枚/フェード・ナレ: 「発見の喜び」・演出: サプライズ【出力】・解像度: 300dpi,# 指示書: 課題解決【役割】ソリューション営業【目的】Before/Afterの提示【仕様】・構成: 5枚/カット切り替え・ナレ: 「解決の力」・演出: 爽快感【出力】・解像度: 4K,# 指示書: 未来ビジョン【役割】ビジョナリスト【目的】企業の未来像を提示【仕様】・構成: 10枚/ズームイン・ナレ: 「未来へ」・演出: 希望に満ちた【出力】・解像度: 300dpi,# 指示書: コミュニティ【役割】コミュニティマネージャー【目的】人々の絆を描く【仕様】・構成: 8枚/パン（横移動）・ナレ: 「つながり」・演出: 温かい群像劇【出力】・解像度: 4K,クライアント承認速。,,,,,,,
35,エンタメ/クリエイティブ,P: ミュージシャンT: 音楽レーベル,アルバムカバー,# 指示書: 音楽の世界観を凝縮したジャケットアート【役割】ミュージック・グラフィックアーティスト【目的】[アルバム]の音像を視覚的に翻訳【アートワーク仕様】・ムード: [ムード]な雰囲気、[要素]を象徴的に使用・タイポグラフィ: タイトル「[タイトル]」を[フォント/色]で配置・スタイル: ストリーミングサービスで映えるアートワーク風【出力設定】・解像度: [指定]・形式: 正方形（スクエア）,# 指示書: Echoes (アンビエント)【役割】電子音楽アーティスト【目的】残響と空間の表現【仕様】・ムード: ミステリアス/波・文字: 「Echoes」(源ノ角/ネオン青)【出力】・解像度: 4K,# 指示書: Rhythm (ダンス)【役割】クラブDJ【目的】躍動感と熱量【仕様】・ムード: エナジー/ビート・文字: 「Rhythm」(メイリオ/赤)【出力】・解像度: 300dpi,# 指示書: Harmony (アコースティック)【役割】フォークシンガー【目的】調和と自然【仕様】・ムード: ピースフル/音符・文字: 「Harmony」(ヒラギノ/緑)【出力】・解像度: 4K,# 指示書: Chaos (ロック)【役割】ロックバンド【目的】破壊と創造【仕様】・ムード: カオス/渦・文字: 「Chaos」(游ゴシック/黒)【出力】・解像度: 300dpi,# 指示書: Serenade (クラシック)【役割】ピアニスト【目的】夜想曲のロマン【仕様】・ムード: ロマンティック/星・文字: 「Serenade」(筑紫/金)【出力】・解像度: 4K,ストリーミング増。,,,,,,,
36,EC/商品画像,P: AmazonセラーT: ECストア,商品ページセット,# 指示書: Amazon売上を最大化する画像セット生成【役割】ECコンバージョン最適化(CRO)スペシャリスト【目的】[商品]の魅力と信頼性を伝える9枚の画像セット作成【セット仕様】・構成: メイン、ライフスタイル、詳細など[バリエーション]を網羅・照明: [照明]を使用し、商品の質感と立体感を強調・基準: Amazon商品画像ガイドライン（白背景、占有率等）に完全準拠【出力設定】・解像度: [指定]・一貫性: ブランドトーンの統一,# 指示書: ノイズキャンセリングヘッドホン【役割】オーディオ機器担当【目的】没入感を伝える【仕様】・構成: 装着シーン/機能図解・照明: 自然光（ライフスタイル）・基準: 白背景メイン画像含む【出力】・解像度: 4K,# 指示書: 多機能キッチンガジェット【役割】キッチン用品担当【目的】便利さを伝える【仕様】・構成: 調理例/分解図・照明: 明るいキッチン照明・基準: 白背景メイン画像含む【出力】・解像度: 300dpi,# 指示書: トレンドファッション【役割】アパレル担当【目的】着心地とスタイルを伝える【仕様】・構成: モデル着用/生地アップ・照明: スタジオライティング・基準: 白背景メイン画像含む【出力】・解像度: 4K,# 指示書: ベストセラー書籍【役割】出版担当【目的】読書体験を伝える【仕様】・構成: 読書シーン/目次抜粋・照明: 読書灯の暖色光・基準: 白背景メイン画像含む【出力】・解像度: 300dpi,# 指示書: ハイテクガジェット【役割】電化製品担当【目的】性能差を伝える【仕様】・構成: スペック比較/ポート類・照明: クールなテック照明・基準: 白背景メイン画像含む【出力】・解像度: 4K,GMV420%増。,,,,,,,
37,EC/商品画像,P: ShopifyオーナーT: オンラインショップ,カスタム商品ビジュアル,# 指示書: パーソナライズ体験の可視化【役割】カスタムオーダー・シミュレーター【目的】[カスタム商品]の名入れイメージをリアルに生成【生成仕様】・カスタマイズ: [パーソナライズ]設定で、「[名前]」を自然に合成・背景: [背景]を使用し、使用シーンを想起させる・リアリティ: 素材の質感や印刷の馴染み具合を再現【出力設定】・解像度: [指定]・品質: 顧客への送付プレビュー用高品質,# 指示書: オリジナルTシャツ【役割】アパレルプリンター【目的】プリント仕上がり確認【仕様】・カスタム: 「John Doe」・背景: 白背景（商品単体）・質感: コットンの風合い【出力】・解像度: 4K,# 指示書: 名前入りマグカップ【役割】ギフトショップ店長【目的】プレゼントのイメージ【仕様】・カスタム: 「Happy Birthday」・背景: 朝食テーブル・質感: 陶器の光沢【出力】・解像度: 300dpi,# 指示書: アートポスター【役割】インテリアデコレーター【目的】部屋の雰囲気確認【仕様】・カスタム: 「Custom Art」・背景: リビングの壁・質感: マット紙と額縁【出力】・解像度: 4K,# 指示書: 旅行バッグ【役割】トラベルグッズ担当【目的】旅の相棒感【仕様】・カスタム: 「Travel Pro」・背景: 空港やストリート・質感: 丈夫なキャンバス【出力】・解像度: 300dpi,# 指示書: 刻印ジュエリー【役割】ジュエラー【目的】特別な想いの表現【仕様】・カスタム: 「Eternal Love」・背景: 首元（着用イメージ）・質感: 金属の輝き【出力】・解像度: 4K,変換率向上。,,,,,,,
38,EC/商品画像,P: マーケットプレイスセラーT: マーケットプレイス,インフォグラフィック商品説明,# 指示書: 購買決定を促す商品スペック図解【役割】テクニカル・マーケティングデザイナー【目的】[商品スペック]の優位性を視覚的に解説【デザイン仕様】・レイアウト: [レイアウト]配置で情報を整理・アイコン: [アイコン]を使用して特徴を直感的に伝達・テキスト: 「[利点]」を可読性の高いフォントで正確に記述【出力設定】・解像度: [指定]・スタイル: クリーンで信頼感のあるインフォグラフィック,# 指示書: デジタルカメラ【役割】カメラ専門販売員【目的】画質の良さを強調【仕様】・レイアウト: 縦長（スマホ最適）・アイコン: レンズ/画素数・テキスト: 「高解像度」【出力】・解像度: 4K,# 指示書: フィットネストラッカー【役割】ヘルスケア担当【目的】健康管理機能を強調【仕様】・レイアウト: 横長（PC最適）・アイコン: 心拍/歩数・テキスト: 「正確測定」【出力】・解像度: 300dpi,# 指示書: メカニカルキーボード【役割】ゲーミングデバイス担当【目的】打鍵感と耐久性【仕様】・レイアウト: グリッド・アイコン: キースイッチ・テキスト: 「高耐久性」【出力】・解像度: 4K,# 指示書: 高機能ヘアドライヤー【役割】美容家電担当【目的】髪への優しさと速さ【仕様】・レイアウト: ステップフロー・アイコン: 風量/イオン・テキスト: 「速乾・潤い」【出力】・解像度: 300dpi,# 指示書: ワイヤレス充電器【役割】スマホアクセサリ担当【目的】充電スピード【仕様】・レイアウト: 円形集中・アイコン: 雷マーク・テキスト: 「高速充電」【出力】・解像度: 4K,レビュー増。,,,,,,,
39,EC/商品画像,P: インポーターT: 輸入業者,輸入商品シーン生成,# 指示書: 異国情緒あふれる輸入商品シーン【役割】ワールド・トラベル・フォトグラファー【目的】[輸入品]の産地の空気感と魅力を伝える【シーン仕様】・文化背景: [文化]的な要素を取り入れたセット組み・照明: 現地の気候を感じさせる[照明]・ラベル: [ラベル多言語]を違和感なく商品に適用【出力設定】・解像度: [指定]・雰囲気: オーセンティック（本物志向）,# 指示書: イタリア産ワイン【役割】ソムリエ【目的】トスカーナの夕暮れ【仕様】・文化: 地中海風テラス・照明: 夕陽の暖色光・ラベル: 伊語ラベル【出力】・解像度: 4K,# 指示書: フランス産チーズ【役割】美食家【目的】パリのビストロ【仕様】・文化: パリの街角・照明: 暖かい室内灯・ラベル: 仏語ラベル【出力】・解像度: 300dpi,# 指示書: 日本茶（輸出用）【役割】茶師【目的】禅の精神【仕様】・文化: 畳と掛け軸・照明: 障子越しの自然光・ラベル: 英語併記ラベル【出力】・解像度: 4K,# 指示書: インドスパイス【役割】スパイス商【目的】市場の熱気【仕様】・文化: カラフルな市場・照明: 鮮やかな直射日光・ラベル: 英語/ヒンディー【出力】・解像度: 300dpi,# 指示書: メキシカンチョコ【役割】菓子バイヤー【目的】祭りの賑わい【仕様】・文化: 死者の祭り風・照明: カラフルな装飾光・ラベル: 西語ラベル【出力】・解像度: 4K,クロスボーダー売上。,,,,,,,
